STATE/UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR RELATIVES,DOWRY DEATH,IMMORAL TRAFFIC(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INSULT TO THE MODESTY OF WOMEN,KIDNAPPING & ABDUCTION,RAPE
Andhra Pradesh,9.40477138232094,15.3676724252315,1.1145609426001102,3.5347504179603497,2.45468779025025,6.026590239630599,2.0300931454502,2.31138709763023
Arunachal Pradesh,15.057915057915098,2.12355212355212,0.0,0.0,0.0,0.579150579150579,10.6177606177606,6.37065637065637
Assam,6.600403789408292,9.690945799037117,0.4581456747942229,0.046591085572294015,0.07765180928715598,0.031060723714863,8.30874359372574,6.34415281876068
Bihar,1.41365865928814,3.91900389888064,2.16073449880518,0.07294679914476201,0.0075462206011819985,0.052823544208276,1.30298075713747,2.23368129794994
Chhattisgarh,17.0173745173745,8.10810810810811,0.675675675675676,0.115830115830116,0.0,1.5540540540540502,1.65057915057915,9.25675675675676
Goa,2.57575757575758,1.6666666666666698,0.303030303030303,4.24242424242424,0.0,1.06060606060606,0.9090909090909092,1.81818181818182
Gujarat,3.11303273625695,15.0998558781141,0.27589046736668704,0.251183858348775,0.0,0.457072266831377,3.52892732139181,1.1776816965204902
Haryana,4.88702586647582,15.4687659748492,2.91381249361006,0.214701973213373,0.0,4.09978529802679,3.03649933544627,4.06911358756773
Himachal Pradesh,10.3678929765886,10.602006688963199,0.334448160535117,0.033444816053512,0.0,0.468227424749164,3.5117056856187303,4.1471571906354505
Jammu & Kashmir,13.004390549864096,1.04536901526239,0.27179594396822104,0.146351662136734,0.0,6.0213255279113485,10.5373196738449,3.53334727158687
Jharkhand,2.27394533343542,3.70568869152439,1.66143480591073,0.022969144782176,0.0,0.038281907970293,2.13613046474236,4.34116836383125
Karnataka,6.415690505548708,6.76248458692972,0.847718865598027,5.2250308261405705,0.0,0.31211467324291,1.04423551171393,1.12900739827374
Kerala,11.8609906553472,15.641605081536698,0.16490563732975,0.8062053380565558,0.25651988029072303,0.494716911989251,0.592438771147621,3.43248030293776
Madhya Pradesh,24.4360642125657,8.86382507611403,2.10697481317465,0.051895931358982,0.0,2.59825629670634,2.31109880985331,9.86368668696374
Maharashtra,6.07384138732304,13.102973449804196,0.6626791170015921,0.501312448900555,0.019364000172125,2.40974224364215,1.31460045612978,2.801325358234
Manipur,1.96078431372549,0.466853408029879,0.0,0.37348272642390296,0.0,0.0,5.7889822595705,1.8674136321195096
Meghalaya,2.18722659667542,0.349956255468066,0.0,0.0,0.0,0.0,0.962379702537183,2.27471566054243
Mizoram,12.121212121212098,3.72960372960373,0.0,0.466200466200466,0.0,0.0,0.233100233100233,12.121212121212098
Nagaland,0.63626723223754,0.0,0.0,0.106044538706257,0.0,0.0,0.63626723223754,1.80275715800636
Odisha,9.12147266313933,6.977513227513231,1.6203703703703702,0.132275132275132,0.0,2.52425044091711,2.39197530864197,4.3540564373897706
Punjab,3.27061719711623,9.91735537190083,1.39792509231581,0.281343414805697,0.008791981712678,0.413223140495868,2.84860207490768,2.62001055037806
Rajasthan,10.625023073799198,20.4230811828552,1.38811976224757,0.251042935725625,0.169823162402629,0.206741241185809,7.9927640565585,3.87270646435559
Sikkim,0.0,0.0,0.0,0.0,0.0,5.55555555555556,0.793650793650794,3.17460317460317
Tamil Nadu,5.71843251088534,2.62860828898565,0.616029672633446,16.874697629414598,0.035478148685696,3.26398967908402,1.95774875020158,1.3642960812772098
Tripura,3.72511239563263,14.579319203596699,1.02761721258831,0.0,0.0,0.0,2.24791265253693,6.55105973025048
Uttar Pradesh,3.64986710414203,9.36629659303346,2.8117965739575,0.033064998155991,0.003815192094922,3.2747065481413697,3.66131268042679,2.49004870728575
Uttarakhand,2.47417727600288,7.23036271919289,1.34518376171031,0.0,0.0,2.01777564256546,3.0266634638481897,1.77756425654576
West Bengal,2.46447946267114,9.96900025833118,0.6845776285197621,0.08008266597778399,0.0,0.12399896667527803,1.79540170498579,1.83156807026608
A&N Islands,11.6564417177914,5.52147239263804,0.0,0.0,0.0,0.613496932515337,1.2269938650306698,1.84049079754601
Chandigarh,6.09137055837564,9.13705583756345,0.761421319796954,0.761421319796954,0.253807106598985,3.8071065989847694,12.6903553299492,4.56852791878173
D&N Haveli,7.070707070707071,4.04040404040404,0.0,0.0,0.0,0.0,2.02020202020202,6.06060606060606
Daman & Diu,0.0,6.06060606060606,0.0,4.5454545454545485,0.0,0.0,4.5454545454545485,0.0
Delhi UT,8.04100592663783,2.21047573282076,1.81002723049816,1.52170430882589,0.016017940092904,1.44161460836136,15.4412942495595,6.10283517539644
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,7.18685831622177,0.616016427104723,0.205338809034908,8.0082135523614,0.0,5.54414784394251,0.616016427104723,1.84804928131417
