STATE/UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR RELATIVES,DOWRY DEATH,IMMORAL TRAFFIC(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INSULT TO THE MODESTY OF WOMEN,KIDNAPPING & ABDUCTION,RAPE
Andhra Pradesh,11.324807673094199,22.889399540413603,1.29633330002997,1.64102307922869,3.3644719752223,6.022080127884902,3.31951243880508,2.62014187231492
Arunachal Pradesh,11.392405063291099,2.53164556962025,0.180831826401447,0.0,0.0,0.3616636528028929,9.22242314647378,6.69077757685353
Assam,9.27924039706517,18.3282980866062,0.7552870090634441,0.20860307869371306,0.0,0.07193209610128,11.106315638037698,8.948352754999279
Bihar,1.2159867847473995,3.87509750837425,2.72564584958473,0.029826090946634,0.0,0.12159867847474,2.48703712201166,2.82659569586565
Chhattisgarh,14.205707173971,6.37389990221353,0.9156369455062672,0.115565828073607,0.0,1.27122410880967,1.58236287670015,8.84523068717219
Goa,2.51396648044693,1.9553072625698305,0.0,3.63128491620112,0.0,0.977653631284916,1.3966480446927398,2.93296089385475
Gujarat,2.80701754385965,18.9816933638444,0.1906941266209,0.297482837528604,0.0,0.526315789473684,3.60411899313501,1.3501144164759695
Haryana,4.52261306532663,20.9752466033873,2.37297599106644,0.790991997022148,0.0,4.56914200632794,4.0107947143123,5.6579192257584205
Himachal Pradesh,8.68603916614024,8.18066961465572,0.094756790903348,0.0,0.0,0.9791535060012628,3.44283006948831,3.56917245735944
Jammu & Kashmir,18.5149469623915,2.60366441658631,0.192864030858245,0.096432015429123,0.0,6.6923818707811,13.9440694310511,4.82160077145612
Jharkhand,2.91323622545915,4.70058405460559,1.97734149602421,0.07740482724649901,0.014073604953909,0.309619308985997,2.88508901555133,5.62240517908662
Karnataka,6.0791042080549005,7.690084883510928,0.881343687917645,2.8390825356691303,0.0,0.137258443200289,1.18475708867618,1.44482571789778
Kerala,14.8939908633009,21.717230877357398,0.146421459529109,1.10694623404006,0.345554644488696,1.30022256061848,1.1830853929952,3.51997188707977
Madhya Pradesh,19.648758379756398,9.407358448997579,2.4045573285494,0.037767916155226,0.006294652692538,2.39826267585686,1.94190035564788,9.127246404179653
Maharashtra,6.93290289153265,13.4273928379267,0.77120822622108,0.7532731511926819,0.017935075028397,1.9609015364380904,1.83535601123931,2.9891791713995297
Manipur,3.6745406824147,0.8748906386701658,0.0,0.0,0.0,0.0,6.911636045494308,3.499562554680661
Meghalaya,4.67596390484003,1.06644790812141,0.492206726825267,0.082034454470878,0.0,0.0,2.05086136177194,6.07054963084496
Mizoram,11.135371179039302,0.218340611353712,0.0,0.0,0.0,0.0,0.218340611353712,15.720524017467303
Nagaland,0.29821073558648103,0.29821073558648103,0.0,0.894632206759443,0.0,0.198807157057654,0.29821073558648103,2.28628230616302
Odisha,12.5807459887477,3.61533652844343,2.38070431339862,0.22921441967076506,0.0,1.2867264013336102,3.0058345488643505,5.1312773494478
Punjab,2.59418374091209,6.617647058823531,1.07402511566424,0.553536021150033,0.008261731658956,0.495703899537343,3.4534038334434904,3.6516853932584303
Rajasthan,8.66123243098185,23.6087350306934,1.3216597900104,0.479688705511388,0.34215558015497605,0.103988460635336,5.20948643118312,3.63959612223676
Sikkim,5.20446096654275,2.23048327137546,0.0,0.0,0.0,0.0,2.60223048327138,7.434944237918218
Tamil Nadu,3.63832741860824,3.85125752198735,0.577071439592655,5.34485418916834,0.108008023453171,2.6292238852029,2.21570745255362,1.41027619194569
Tripura,12.4623720650211,28.356411800120398,2.1071643588199898,0.0,0.0,0.0,3.73269114990969,11.378687537627899
Uttar Pradesh,2.4177269214354102,6.00279145951807,2.07398521218553,0.080744696803664,0.0,3.1305872446449,2.94256745065922,1.5156933085716298
Uttarakhand,3.3849557522123903,7.92035398230088,1.76991150442478,0.066371681415929,0.0,2.5,4.04867256637168,3.2522123893805297
West Bengal,4.45139090820975,17.96549384511,1.07831734031211,0.15993021227100898,0.009692740137637,0.15266065716778102,2.90539885625666,4.19453329456237
A&N Islands,7.4468085106383,3.72340425531915,0.0,0.0,0.0,2.12765957446808,2.65957446808511,3.19148936170213
Chandigarh,4.24628450106157,21.656050955414,2.12314225053079,0.636942675159236,0.0,2.76008492569002,12.1019108280255,4.03397027600849
D&N Haveli,4.58715596330275,4.58715596330275,0.91743119266055,0.0,0.0,0.91743119266055,12.844036697247699,5.504587155963299
Daman & Diu,2.35294117647059,2.35294117647059,0.0,1.1764705882352902,0.0,0.0,1.1764705882352902,3.52941176470588
Delhi UT,9.99165043139438,24.0467575841915,1.90648483161703,1.5585861397161105,0.013915947676037,2.00389646534929,14.834400222655196,8.66963540217089
Lakshadweep,0.0,2.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,10.2376599634369,3.47349177330896,0.548446069469835,1.46252285191956,0.0,7.12979890310786,2.37659963436929,1.64533820840951
