,STATE/UT,principal component 1,principal component 2
0,Andhra Pradesh,5.0629469587161475,3.8929000726341534
1,Arunachal Pradesh,-0.09559807506128254,-1.8567108237051966
2,Assam,0.684087425078438,-1.5673995025608967
3,Bihar,-0.7906567889155641,0.17957014507304897
4,Chhattisgarh,-0.03503025660958137,-1.285264329243769
5,Goa,-1.6866040457859106,0.865855408163607
6,Gujarat,-0.44606455865752914,0.47014982143995965
7,Haryana,1.245835600492979,0.7590923645772522
8,Himachal Pradesh,-0.09571876303801718,-0.7064353462929956
9,Jammu & Kashmir,2.455033241703732,-1.0927576078960886
10,Jharkhand,-0.66009976338805,-0.3052357873111063
11,Karnataka,-1.1942579412337238,1.166997594404756
12,Kerala,0.5550484270750049,0.34211920498143467
13,Madhya Pradesh,1.5286506850747532,-1.5785584014337273
14,Maharashtra,-0.1631151318643596,0.5356348690832986
15,Manipur,-1.0318667862823023,-0.2941470637004174
16,Meghalaya,-1.5127562220203228,-0.6046643438039442
17,Mizoram,-0.6666623470958739,-3.113137051987702
18,Nagaland,-2.167864119084799,0.6556243629503342
19,Odisha,0.4263777238084383,-0.6290611448303355
20,Punjab,-0.7141519861743992,-0.038236267153762944
21,Rajasthan,1.1121169795168484,0.15014627071016623
22,Sikkim,-1.3214669477004928,-0.840779506816783
23,Tamil Nadu,-0.8261270518054097,2.211333944223789
24,Tripura,1.7903051629616094,-1.4906127309316266
25,Uttar Pradesh,0.27801459461588557,0.8017565540205339
26,Uttarakhand,-0.23822056170590541,0.3486479495917748
27,West Bengal,0.1599289957968923,-0.2291369893827752
28,A&N Islands,-0.22797308170591019,0.07402972901296173
29,Chandigarh,0.9914030129939284,0.24579785460447662
30,D&N Haveli,-1.7100590126857866,0.2619303599108047
31,Daman & Diu,-2.3907412083327007,3.193231550836842
32,Delhi UT,2.542652387438369,-1.1558372546987028
33,Lakshadweep,-1.5549288787676487,0.017865546919364282
34,Puducherry,0.6975623326425449,0.6152905486112773
