,STATE/UT,principal component 1,principal component 2
0,Andhra Pradesh,1.8476350699864434,5.334157615281917
1,Arunachal Pradesh,1.1959562120290257,-1.5217007022621145
2,Assam,0.8753647878627091,-1.0377081640070904
3,Bihar,-0.6760057486132885,-0.23276842015273294
4,Chhattisgarh,2.0247191643665494,-1.0663947035861947
5,Goa,-1.8224899632653906,0.11775979343832534
6,Gujarat,-0.516674132749098,-0.08195255202862438
7,Haryana,1.5643316443348314,1.2450936875099887
8,Himachal Pradesh,0.49178155019212216,-0.7101244421375669
9,Jammu & Kashmir,0.9223927837670896,0.49321258539373114
10,Jharkhand,-0.3485517275819563,-0.6611000829228905
11,Karnataka,-1.1278843589282543,0.3620633354198609
12,Kerala,0.6212520562965327,0.005348134035038042
13,Madhya Pradesh,3.6457330791571314,-0.5921851515953035
14,Maharashtra,0.08616244385598926,0.37226615251048545
15,Manipur,-1.5015966548141364,-0.8910735991189496
16,Meghalaya,-1.7408708070177306,-0.908460640591035
17,Mizoram,1.2440276113511959,-2.0470072779057844
18,Nagaland,-2.0402374481922227,-0.8230449374479988
19,Odisha,0.7558546499831148,0.09019630397789496
20,Punjab,-0.18494062908626716,-0.16489975567075538
21,Rajasthan,1.9406629405056837,0.014939825394404718
22,Sikkim,-1.3678586140326303,0.6317059828194166
23,Tamil Nadu,-2.1139526261621597,2.540835841539263
24,Tripura,0.7134429608132336,-0.7297768429816403
25,Uttar Pradesh,0.6756008269971951,0.9428629668495067
26,Uttarakhand,-0.46659889178174846,0.26025070230377334
27,West Bengal,-0.7894129930763295,-0.3268225171362452
28,A&N Islands,-0.4581501115510938,-0.6246986969488877
29,Chandigarh,1.2327962999995092,0.5971890133257586
30,D&N Haveli,-0.20906276652162153,-1.3233575955878136
31,Daman & Diu,-2.0798248593913833,0.11988423515622211
32,Delhi UT,1.5086849867413719,-0.585298793781883
33,Lakshadweep,-2.4826765492882386,-0.597304052441321
34,Puducherry,-1.4196101861861765,1.7979127533492476
