,STATE/UT,principal component 1,principal component 2
0,Andhra Pradesh,-3.1889534253630845,5.178594007786685
1,Arunachal Pradesh,-0.20178527265690663,-1.5703852310057924
2,Assam,-1.6377141902056687,-1.51201205047065
3,Bihar,0.4301439291658258,0.42631212815964736
4,Chhattisgarh,-0.6588393994836889,-1.0997474996586418
5,Goa,1.5601417766459025,0.20539370060137177
6,Gujarat,0.7035305937652478,0.1239003787529971
7,Haryana,-1.4001787865379103,1.6187824638631445
8,Himachal Pradesh,0.15940072084858975,-0.5647163154838022
9,Jammu & Kashmir,-1.3435278411973084,0.27862158821088456
10,Jharkhand,0.472243680115192,-0.16769453793231393
11,Karnataka,1.3354985704091578,0.3768679037942611
12,Kerala,-0.406593944111524,0.021007719117606353
13,Madhya Pradesh,-2.0482304587689693,-0.5976414289211381
14,Maharashtra,0.33845792422877613,0.4324397918789058
15,Manipur,0.9848322506330454,-0.6189196354415457
16,Meghalaya,0.9900222994623791,-0.9352734790911689
17,Mizoram,-0.8300500087845394,-2.9964871088910576
18,Nagaland,2.0534665653417044,-0.1406586881914883
19,Odisha,-0.9804333309992399,-0.2500124612542671
20,Punjab,0.7146297124637037,-0.13406063621751632
21,Rajasthan,-1.0714454362411963,0.20623842193672876
22,Sikkim,0.8463223079661044,-1.246355410665831
23,Tamil Nadu,1.338471256240069,1.0906796881631333
24,Tripura,-3.3764251436981754,-1.9346622675400882
25,Uttar Pradesh,-0.22942707444287777,1.4702619204867722
26,Uttarakhand,-0.03834830086110336,2.0067078902041566
27,West Bengal,-0.7809138524081561,-0.3024142072426421
28,A&N Islands,-0.7857022401284042,-0.5320213794128619
29,Chandigarh,0.8462182159001412,-0.1016656397497913
30,D&N Haveli,1.5891773308881523,-0.35422164906319176
31,Daman & Diu,3.8058393141350546,1.7502820761527516
32,Delhi UT,-1.4305658492074613,-0.10268038539120837
33,Lakshadweep,1.5175470485716327,-0.7042834602524248
34,Puducherry,0.7231910583155383,0.6798237927683757
