,STATE/UT,principal component 1,principal component 2
0,Andhra Pradesh,1.687362998833137,-1.48377494293429
1,Arunachal Pradesh,-0.07625030588649359,1.1125582440340458
2,Assam,2.813325862152773,0.23078551728649496
3,Bihar,-0.007303270316517289,-1.3863257827711564
4,Chhattisgarh,0.17881867784485672,1.0759756650559007
5,Goa,-2.579937303304622,0.07666544082230793
6,Gujarat,-0.6936810593446171,-0.6613841480637159
7,Haryana,1.2553711317867136,-1.0957774445690875
8,Himachal Pradesh,-0.544446809729212,0.5003219844637544
9,Jammu & Kashmir,2.0619317698478095,1.2467062479060178
10,Jharkhand,-0.26450867759721847,-0.39920192150965994
11,Karnataka,-0.7197190190345849,-0.16915313089584608
12,Kerala,0.817749809017647,0.5989833654826628
13,Madhya Pradesh,1.5388119825809807,1.2543410457520963
14,Maharashtra,-0.5024552463217963,-0.2045056786584298
15,Manipur,-1.1655973679985359,0.1592012547005357
16,Meghalaya,-1.2128195039492478,1.4395256868599835
17,Mizoram,0.31843428459883333,3.7086277847309352
18,Nagaland,-2.048969418443929,-0.14447979615282677
19,Odisha,1.899182150801471,0.7077374735990698
20,Punjab,-0.773307528306972,-0.1667804554723311
21,Rajasthan,2.1373676211033064,-3.272369427468428
22,Sikkim,-0.6171246495740595,1.504855619169766
23,Tamil Nadu,-0.9378486971572774,-1.8594671049341278
24,Tripura,2.886058627558951,0.8884255773179943
25,Uttar Pradesh,0.031016951581745063,-0.9068300954097281
26,Uttarakhand,-0.44316507112767556,-0.5728643774883678
27,West Bengal,1.629830297014135,-1.0526981021350685
28,A&N Islands,-0.8391607123705144,0.2388429470495713
29,Chandigarh,0.5709302196022421,-0.12541172095412922
30,D&N Haveli,-2.059348643432903,-0.3606270287423171
31,Daman & Diu,-2.8684946167476446,-0.18992244283840629
32,Delhi UT,2.430317992070282,-0.10830443928137679
33,Lakshadweep,-1.934789327224407,-0.3454067313842605
34,Puducherry,-1.9675831485266562,-0.23826908256758095
