,STATE/UT,principal component 1,principal component 2
0,Andhra Pradesh,0.2509126106527686,5.527817258019483
1,Arunachal Pradesh,0.5749166460530157,-0.9711704554466332
2,Assam,2.972731710945172,-0.7732190513659452
3,Bihar,-0.26274529333401525,-0.6519767008964413
4,Chhattisgarh,0.7287213954114741,-0.1752161095555507
5,Goa,-1.5240637299177549,-0.15117827660406094
6,Gujarat,-0.7533585180889976,-0.49465368968139956
7,Haryana,1.106446217482383,1.167366306073101
8,Himachal Pradesh,-0.009697155869584759,-0.027475047607690692
9,Jammu & Kashmir,1.3335134050070743,0.6496201909592335
10,Jharkhand,-0.2862860592205869,-0.8216890511974769
11,Karnataka,-0.5850571308632078,-0.28056736729056136
12,Kerala,0.12410530850363609,1.3187630128619656
13,Madhya Pradesh,2.076383193616262,0.5662973712768926
14,Maharashtra,-0.442112733646544,0.22647265787080223
15,Manipur,-0.882561348464706,-1.1721746154159038
16,Meghalaya,-0.33502304263825233,-1.3522339111632833
17,Mizoram,1.2205436364527908,-1.3187986390885924
18,Nagaland,-1.8601575206918346,-0.8412006232563953
19,Odisha,0.9985828662064451,-0.01349213940751103
20,Punjab,-0.5517191232393261,-0.7084032843653151
21,Rajasthan,1.1234734659297778,0.04218503119075146
22,Sikkim,-1.1092214772462738,-0.9632299336535075
23,Tamil Nadu,-1.344555298742634,-0.005645043286357646
24,Tripura,3.7843277923136562,0.31868560989801903
25,Uttar Pradesh,-0.09453931594250267,-0.5860955851233858
26,Uttarakhand,-0.33466789827397,0.3416752699159575
27,West Bengal,1.195333771136621,-0.09448497201017991
28,A&N Islands,0.3029312897288278,0.5497622458087603
29,Chandigarh,-0.3459019588052144,-0.6189174500904437
30,D&N Haveli,-0.9092978083430023,-0.4264764093957953
31,Daman & Diu,-3.4826062321597107,-0.1914040927467102
32,Delhi UT,1.9907978573831593,-0.6555162550509228
33,Lakshadweep,-3.031631169144775,2.0408542892290953
34,Puducherry,-1.6385183521901687,0.5457194605960044
