STATE/UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR RELATIVES,DOWRY DEATH,IMMORAL TRAFFIC(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INSULT TO THE MODESTY OF WOMEN,KIDNAPPING & ABDUCTION,RAPE
Andhra Pradesh,9.75491323570753,21.4367860154872,1.30849242249994,1.03503795139155,2.8163254874901003,5.90354979682588,2.63231874057604,2.59653965089831
Arunachal Pradesh,11.317254174396998,0.742115027829314,0.0,0.0,0.0,0.0,7.60667903525046,7.79220779220779
Assam,6.54025627731279,14.406340271091,0.548107547589067,0.207392045033701,0.0,0.08147544626324,11.495444781868,8.673431597659429
Bihar,1.67244737967406,6.36432745759491,2.44452891148382,0.057015251579798,0.0,0.03088326127239,2.3685085760440896,3.30213332066328
Chhattisgarh,15.2357365620987,6.796917996697849,0.651256650155935,0.08255365987892099,0.0,1.2016143826820802,1.59603742432581,8.88827738029719
Goa,3.38235294117647,2.5,0.294117647058824,4.11764705882353,0.0,2.20588235294118,1.47058823529412,5.441176470588241
Gujarat,2.97294113026745,15.5323410438676,0.227781486863292,0.129599811491183,0.0,0.644071790441032,3.5541766484703303,1.33134351804579
Haryana,3.88921057710867,19.5522099980699,2.42231229492376,0.598340088785949,0.0,8.203049604323489,2.8179888052499504,3.725149585022201
Himachal Pradesh,9.1672046481601,8.134280180761781,0.25823111684958,0.12911555842479,0.064557779212395,0.516462233699161,3.19561007101356,4.93867010974823
Jammu & Kashmir,19.7054140127389,1.63216560509554,0.179140127388535,0.218949044585987,0.0,5.2547770700636915,12.5796178343949,4.33917197452229
Jharkhand,2.9856167368879905,4.2713932878105485,1.99767543222432,0.021792822896993,0.0,0.021792822896993,1.29304082522156,5.78962661630103
Karnataka,5.31284709366901,5.87930396149574,0.9589041095890408,4.33172898926324,0.0,0.211032950758978,1.05886708626435,1.07737874861163
Kerala,13.4515802630796,19.177429914886,0.18451282661746304,0.9999404797333492,0.267841199928576,0.791619546455568,0.8451877864412829,2.85697279923814
Madhya Pradesh,21.833491074051103,11.2137332332496,2.45096439411246,0.07506282432035499,0.0,2.62393525015502,1.90594301752554,9.382853040044381
Maharashtra,5.81302231987023,11.5931911049054,0.6447506211371429,0.634483891501201,0.022586805199072003,1.76998418923636,1.6159832446972298,2.85004414693743
Manipur,2.69299820466786,0.179533213644524,0.0,0.0,0.0,0.0,6.37342908438061,2.78276481149013
Meghalaya,2.8595458368376803,0.420521446593776,0.168208578637511,0.0,0.0,0.0,1.5138772077375902,4.541631623212781
Mizoram,14.7651006711409,0.0,0.0,1.11856823266219,0.0,0.0,0.0,4.47427293064877
Nagaland,0.30581039755351697,0.0,0.0,0.40774719673802295,0.0,0.101936799184506,0.40774719673802295,1.8348623853211
Odisha,9.638618340518393,6.344137527276598,1.69780190537016,0.117089786577253,0.0,0.9047847144605892,2.25131726009899,4.09814253020384
Punjab,2.20924327069578,6.78009141696293,0.95649229727442,0.270865075334349,0.016929067208397,0.321652276959539,2.6324699509057004,3.30116810563738
Rajasthan,9.83361180729602,23.604149262044,1.31927039821777,0.27499303815093296,0.309802283486494,0.142717905875801,6.547619047619048,3.6131996658312406
Sikkim,15.2671755725191,0.38167938931297707,0.0,0.38167938931297707,0.0,0.0,1.52671755725191,1.14503816793893
Tamil Nadu,5.83898092369478,4.50865963855422,0.7059487951807231,9.48167670682731,0.320030120481928,3.39169176706827,2.1711847389558203,1.93900602409639
Tripura,8.271604938271611,18.641975308642,1.23456790123457,0.0,0.0,0.0,3.3333333333333304,9.876543209876539
Uttar Pradesh,2.27733096810538,5.9330464695377,2.0472006808021,0.052738190840334986,0.0,3.2146324507677,2.78553535256679,1.67443755918064
Uttarakhand,3.2670779072424,9.25291295407814,1.87342928946767,0.091386794608179,0.0,2.51313685172493,2.90153072880969,2.6273703449851498
West Bengal,3.88556683125326,15.7159516661291,0.9825571297422032,0.300225789643451,0.062030121827159,0.158797111877528,2.52586656080192,3.6597771878024
A&N Islands,3.44827586206897,2.8735632183908,0.0,0.0,0.0,1.72413793103448,1.72413793103448,5.7471264367816115
Chandigarh,4.651162790697679,16.9767441860465,1.3953488372093,2.09302325581395,0.0,4.18604651162791,10.0,4.41860465116279
D&N Haveli,5.1546391752577305,3.09278350515464,0.0,0.0,0.0,0.0,7.21649484536082,7.21649484536082
Daman & Diu,1.2658227848101298,5.06329113924051,0.0,1.2658227848101298,0.0,0.0,0.0,1.2658227848101298
Delhi UT,8.8395352257685,18.4438888071775,1.85321370789822,1.80908957199588,0.0,1.91204588910134,12.9577879099868,8.104132960729519
Lakshadweep,0.0,2.9411764705882297,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,9.765625,0.390625,1.171875,0.78125,0.0,5.859375,1.5625,0.78125
