,STATE/UT,principal component 1,principal component 2
0,Andhra Pradesh,3.7322044713880107,-3.248767695918641
1,Arunachal Pradesh,-0.05598922936236271,1.589338720086337
2,Assam,1.176996509750691,1.508383995188806
3,Bihar,-0.36846061210601977,-0.6369576764905998
4,Chhattisgarh,0.5476003427420827,1.809272099906752
5,Goa,-1.3787716873394151,-0.3105670779531601
6,Gujarat,-0.5191218117122681,-0.7863458798946924
7,Haryana,2.2823904053737145,-2.4853392562336922
8,Himachal Pradesh,-0.37945624502119807,0.619106439116859
9,Jammu & Kashmir,1.64997432218664,1.0076873068408536
10,Jharkhand,-0.08629070435447664,0.21368628272774695
11,Karnataka,-1.4890936855299952,-1.2395583797193066
12,Kerala,0.13746257675958629,-0.17594123342697413
13,Madhya Pradesh,2.5031292773665434,1.9707027597778946
14,Maharashtra,-0.21379825962381344,-0.4428699806282708
15,Manipur,-1.273745360052088,0.28901055123134783
16,Meghalaya,-1.8094170805660343,0.20853129037629875
17,Mizoram,0.47044724523670495,3.6097178588292063
18,Nagaland,-2.143273140451254,-0.3156673265902071
19,Odisha,0.2662351176466609,0.22311292879244538
20,Punjab,-0.3058443886803961,-0.43964721444638627
21,Rajasthan,1.7462452458104187,-0.1939182347646221
22,Sikkim,-1.2973456055465855,0.8742571733148821
23,Tamil Nadu,-1.5610350553759733,-2.024497285905395
24,Tripura,0.9060481987036569,0.7787810360930707
25,Uttar Pradesh,-0.17687965478511605,-1.5887422069353085
26,Uttarakhand,0.3458269330624043,-0.8350605248950826
27,West Bengal,-0.39606771220806475,-0.5034662268569866
28,A&N Islands,-1.322142566431109,-0.23078615859036755
29,Chandigarh,0.7003861817327558,-0.32948944660493634
30,D&N Haveli,-1.6625340471706556,-0.3518129046979199
31,Daman & Diu,-0.5299696753582213,0.8773762867960525
32,Delhi UT,2.5689708282486268,0.6031892450610699
33,Lakshadweep,-1.2659412051254704,0.8455748433423681
34,Puducherry,-0.7987399292079728,-0.8882941069294408
