STATE/UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR RELATIVES,DOWRY DEATH,IMMORAL TRAFFIC(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INSULT TO THE MODESTY OF WOMEN,KIDNAPPING & ABDUCTION,RAPE
Andhra Pradesh,9.95049634615888,18.3818329448126,1.17603918384452,2.28135886220173,6.29403598837057,5.30134367060426,2.23683176615417,2.62447942586238
Arunachal Pradesh,12.952380952381,2.47619047619048,0.0,0.0,0.0,0.38095238095238093,7.238095238095242,7.238095238095242
Assam,7.51718869365928,12.9411764705882,0.53475935828877,0.183346065699007,0.022918258212376,0.053475935828877,9.74789915966387,7.41023682200153
Bihar,1.53151820065108,3.8892177172733504,2.28617934300089,0.024662128834961,0.0024662128834960005,0.014797277300977,1.8348623853211,2.56486139883595
Chhattisgarh,14.064871016691999,6.193095599393018,0.806145675265554,0.113808801213961,0.0,1.39415781487102,1.46054628224583,9.40819423368741
Goa,2.73556231003039,1.2158054711246202,0.30395136778115506,3.79939209726444,0.0,0.9118541033434652,0.7598784194528879,1.82370820668693
Gujarat,3.03840544482256,13.454059309674301,0.251174850105331,0.230918813806514,0.016204829039054,0.421325555015395,3.26932425862907,1.08167233835683
Haryana,4.55137844611529,15.6892230576441,2.56641604010025,0.32080200501253103,0.0,14.275689223057599,2.90726817042607,3.619047619047621
Himachal Pradesh,10.7697390155269,7.73042616451933,0.198216055500496,0.066072018500165,0.0,0.396432111000991,3.83217707300958,4.52593326726132
Jammu & Kashmir,16.145619086795598,1.11065405183052,0.370218017276841,0.061703002879474014,0.0,7.568901686548751,12.258329905388699,3.9489921842863
Jharkhand,3.08929645219483,4.41972339146122,2.06704750450992,0.022549609140108,0.0,0.022549609140108,1.33794347564642,5.99067949488876
Karnataka,6.26330191547583,6.93979933110368,0.8855275159622991,5.27515962298571,0.0,0.38005472788081496,1.14016418364244,1.10975980541198
Kerala,12.853423745232199,17.1701882908518,0.102924259853484,0.799176605921172,0.157413573893564,0.617545559120906,0.550947508627475,3.0211297451111
Madhya Pradesh,24.136995591726,10.5696846388606,2.28552051542896,0.047473719905053,0.0,2.65513733468973,2.16683621566633,9.80332316039335
Maharashtra,5.688990553649338,11.337738806286302,0.6417588003558271,0.385478883382048,0.008472063371034,1.6287541830812902,1.37671029779303,2.8635574194095
Manipur,5.34069981583794,0.920810313075506,0.0,0.5524861878453039,0.0,0.0,7.55064456721915,1.28913443830571
Meghalaya,1.98618307426598,0.0,0.0,0.0,0.0,0.0,0.863557858376511,3.28151986183074
Mizoram,16.7816091954023,0.6896551724137929,0.0,0.0,0.0,0.0,0.459770114942529,17.4712643678161
Nagaland,0.104602510460251,0.0,0.0,0.418410041841004,0.0,0.0,0.418410041841004,1.77824267782427
Odisha,8.73945004083855,6.35447862782467,1.3503947726654,0.130683365096651,0.0,1.02368635992377,2.35230057173972,3.76259188674108
Punjab,2.96006944444444,8.194444444444441,1.44097222222222,0.329861111111111,0.069444444444445,1.25868055555556,3.0729166666666696,2.59548611111111
Rajasthan,9.879491911844529,20.594940831614398,1.44392574096189,0.19903738283935896,0.19541852133318904,0.159229906271487,7.30648138095755,3.80342344298484
Sikkim,6.66666666666667,1.1764705882352902,0.0,0.0,0.0,0.0,0.7843137254901958,2.35294117647059
Tamil Nadu,5.9960388448760495,3.36059289547662,0.7762586250958341,11.276514183490901,0.01597239969333,5.48811653462816,2.28085867620751,1.7058522872476398
Tripura,8.111533586818759,14.9556400506971,1.01394169835234,0.0,0.0,0.0,3.0418250950570296,6.8441064638783295
Uttar Pradesh,2.67419680592437,7.08007629876202,2.36002543292067,0.05236189550061701,0.0,2.35254516213487,2.8649437109623395,1.76409719365174
Uttarakhand,3.42465753424658,7.4633915918752995,1.5588096362777502,0.0,0.0,2.2909777987718503,3.66084081247048,2.10203117619273
West Bengal,2.45486261427589,10.3618630471874,0.695204868980621,0.106954595227788,0.0,0.086582291374876,1.7672973592401102,1.93282232804502
A&N Islands,10.303030303030301,2.42424242424242,0.0,0.0,0.0,1.81818181818182,0.606060606060606,1.21212121212121
Chandigarh,9.0,14.0,0.25,0.75,0.0,7.0,11.75,4.5
D&N Haveli,3.19148936170213,3.19148936170213,0.0,0.0,0.0,0.0,5.31914893617021,4.25531914893617
Daman & Diu,0.0,4.2253521126760605,0.0,4.2253521126760605,0.0,0.0,2.8169014084507,0.0
Delhi UT,6.93839452395769,2.10018668326073,2.10018668326073,1.07342874922215,0.0,1.99128811449907,13.8923459863099,6.2694461729931605
Lakshadweep,3.125,0.0,0.0,0.0,0.0,0.0,0.0,3.125
Puducherry,12.065439672801599,1.84049079754601,1.0224948875255602,5.52147239263804,0.0,5.31697341513292,1.2269938650306698,1.2269938650306698
