,STATE/UT,principal component 1,principal component 2
0,Andhra Pradesh,3.8043181288963104,5.067657933938486
1,Arunachal Pradesh,-0.12875832905061257,-1.3153197126215377
2,Assam,1.963319127173445,-1.878376552983333
3,Bihar,-0.3704985332922693,-0.07142815508670605
4,Chhattisgarh,0.46781716881093527,-0.8883646777652334
5,Goa,-1.5231496987977888,0.9865956238865397
6,Gujarat,-0.8012918558748882,0.016828787681228217
7,Haryana,1.4288440025424285,0.9892889746632517
8,Himachal Pradesh,-0.3438765786777204,-0.5137338777965729
9,Jammu & Kashmir,1.959664769238879,0.6796946405526793
10,Jharkhand,-0.471050337582484,-0.3736235332761079
11,Karnataka,-0.9381927560588371,0.3544483662225282
12,Kerala,0.13649900885458166,1.0001848578137669
13,Madhya Pradesh,1.9010265581347088,-0.8816884409000583
14,Maharashtra,-0.4357244854834251,0.4407747276515748
15,Manipur,-1.1415603915550527,-0.3686304692552271
16,Meghalaya,-1.0010482810377361,-1.138753032582051
17,Mizoram,-0.01204565293052938,-2.404233998767254
18,Nagaland,-2.0953806173039875,0.04714604792952825
19,Odisha,0.8112871292832098,-0.5581809884424306
20,Punjab,-0.854437269558187,-0.21130454415568234
21,Rajasthan,1.4166443168331826,-0.10731299223466756
22,Sikkim,-1.4228305687212792,-0.647853433563037
23,Tamil Nadu,-1.57113754333842,1.1331008830774016
24,Tripura,3.298479310226223,-1.9255747209739942
25,Uttar Pradesh,0.2875940413642266,0.5514894799901907
26,Uttarakhand,0.39639506466102575,1.1876828746945194
27,West Bengal,0.8357277456068417,-0.651085613424978
28,A&N Islands,0.8883476699184348,-0.4072511037763652
29,Chandigarh,-0.6920875364730952,-0.392537931614928
30,D&N Haveli,-1.3049566593305877,-0.17134285834817461
31,Daman & Diu,-2.814844562377695,2.1040606663166748
32,Delhi UT,1.8301165266977988,-0.8241751225909378
33,Lakshadweep,-2.127598811644732,-0.10420018949250892
34,Puducherry,-1.3756100991529037,1.2760180852334166
