,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323
STATE/UT,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A&N Islands,Chandigarh,D&N Haveli,Daman & Diu,Delhi UT,Lakshadweep,Puducherry,All India,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A&N Islands,Chandigarh,D&N Haveli,Daman & Diu,Delhi UT,Lakshadweep,Puducherry,ALL INDIA K&A,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A&N Islands,Chandigarh,D&N Haveli,Daman & Diu,Delhi UT,Lakshadweep,Puducherry,ALL INDIA ,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A&N Islands,Chandigarh,D&N Haveli,Daman & Diu,Delhi UT,Lakshadweep,Puducherry,All India,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A&N Islands,Chandigarh,D&N Haveli,Daman & Diu,Delhi UT,Lakshadweep,Puducherry,All India,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A&N Islands,Chandigarh,D&N Haveli,Daman & Diu,Delhi UT,Lakshadweep,Puducherry,All India,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A&N Islands,Chandigarh,D&N Haveli,Daman & Diu,Delhi UT,Lakshadweep,Puducherry,All India,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A&N Islands,Chandigarh,D&N Haveli,Daman & Diu,Delhi UT,Lakshadweep,Puducherry,All India,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A&N Islands,Chandigarh,D&N Haveli,Daman & Diu,Delhi UT,Lakshadweep,Puducherry,TOTAL Crime against Women
CRIME HEAD,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,DOWRY DEATH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,INSULT TO THE MODESTY OF WOMEN,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,CRUELTY BY HUSBAND OR RELATIVES,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,IMMORAL TRAFFIC(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN,TOTAL CRIMES AGAINST WOMEN
2001,871,33,817,888,959,12,286,398,124,169,567,293,562,2851,1302,20,26,52,17,790,298,1049,8,423,102,1958,74,709,3,18,6,0,381,0,9,16075,765,55,1070,518,171,6,857,297,105,504,279,271,97,668,611,62,11,1,6,434,324,2165,2,607,35,2879,126,695,2,50,2,3,964,0,3,14645,420,0,59,859,70,2,67,285,10,13,217,220,27,609,308,0,0,0,0,294,159,376,0,191,16,2211,56,265,0,3,0,0,113,0,1,6851,3544,78,850,562,1763,17,756,478,310,622,297,1665,1942,7063,2823,21,25,52,6,1655,372,2878,0,1773,58,2870,103,954,19,24,7,0,502,0,35,34124,2271,3,4,21,161,7,111,401,14,288,5,81,81,751,1120,0,0,0,0,458,47,56,14,1012,0,2575,84,48,1,15,0,0,90,0,27,9746,5791,11,1248,1558,840,11,3667,1513,317,50,484,1755,2561,2562,6090,5,4,16,0,1266,1128,5532,0,815,227,7365,301,3859,9,36,4,4,138,0,3,49170,1332,0,6,29,12,28,61,21,1,7,3,1356,132,15,233,4,0,2,1,24,32,68,0,5232,0,26,0,31,0,3,0,3,95,0,39,8796,925,0,10,3,0,0,0,0,0,0,0,0,42,0,9,0,0,0,0,0,1,46,0,11,0,3,0,0,0,1,0,0,1,0,0,1052,16477,180,4243,5356,3989,83,5805,3393,890,1656,2229,6002,5450,14549,12524,112,66,126,30,5357,2361,12175,24,10111,438,20227,749,6570,34,150,19,10,2291,0,119,143795
2002,1002,38,970,1040,992,12,267,361,137,192,797,292,499,2891,1352,14,38,76,17,691,299,1051,6,534,108,1415,89,759,2,18,4,0,403,1,6,16373,854,38,1276,744,154,5,807,290,116,596,178,300,91,639,650,82,10,2,4,432,354,2019,2,714,48,2298,155,694,1,47,5,2,893,0,6,14506,449,0,70,927,85,2,62,256,6,18,275,233,17,674,303,0,0,0,0,248,166,399,0,243,16,1893,66,273,0,1,0,0,135,0,5,6822,3799,68,984,621,1483,18,750,454,326,785,411,1648,2123,7118,2686,58,23,73,1,1605,341,2730,17,1877,128,2145,145,964,17,36,3,0,446,1,59,33943,2024,2,7,6,147,6,104,1424,12,368,3,100,102,783,769,0,0,0,0,188,145,44,0,1718,0,1887,97,34,3,28,0,0,128,0,26,10155,7018,13,1694,1577,653,8,3321,1565,234,54,588,1826,2836,3117,5353,10,0,3,0,1167,944,5691,3,1052,236,5679,316,4069,4,56,3,3,135,0,9,49237,871,0,24,10,12,25,57,32,2,3,3,1388,132,14,182,6,0,0,4,24,38,55,0,3530,0,42,0,42,0,3,0,3,69,0,27,6598,2403,0,3,1,0,0,4,0,0,0,0,0,26,0,4,0,0,0,0,0,8,54,0,5,0,0,0,0,0,0,0,0,0,0,0,2508,18880,159,5092,5743,3538,76,5373,4385,838,2016,2490,6170,5829,15260,11322,170,71,154,26,4779,2295,12049,28,9798,536,15647,870,6842,27,189,15,8,2216,2,141,143034
2003,946,31,1095,985,898,31,236,353,126,211,712,321,394,2738,1268,18,40,54,14,725,380,1050,10,557,114,911,107,1002,2,18,1,5,490,2,2,15847,931,51,1351,674,149,13,859,271,96,615,262,244,102,608,626,71,10,2,3,373,295,1750,0,632,29,1499,134,801,2,28,4,1,797,0,13,13296,466,0,60,909,79,2,54,222,6,10,262,194,33,648,368,0,0,0,0,279,110,389,0,220,20,1322,93,329,0,1,0,1,130,0,1,6208,4128,43,878,688,1481,19,722,344,250,875,424,1585,1947,6848,2661,44,13,88,4,1669,346,2715,25,2022,127,1098,136,1186,9,11,4,3,489,1,56,32939,2286,0,6,11,105,7,92,1302,18,376,2,84,68,705,682,0,1,0,2,188,199,33,0,881,0,4970,98,71,2,4,0,0,105,0,27,12325,8167,14,1808,1880,601,24,3684,1618,221,71,559,1704,2930,2938,5452,4,4,3,0,1289,987,5733,1,1555,247,2626,317,4948,7,93,2,0,1211,1,4,50703,349,0,22,9,7,25,74,57,5,2,6,1361,159,33,179,0,1,0,1,11,54,51,1,2839,0,47,0,152,0,4,2,0,46,0,13,5510,909,0,0,1,0,0,14,0,0,0,0,0,16,0,8,0,0,0,0,0,1,87,0,6,0,0,0,1,0,0,0,0,0,0,0,1043,18382,139,5312,5900,3336,121,5735,4170,729,2164,2488,5834,5653,14547,11273,137,69,147,25,4946,2375,11812,37,8888,537,12840,886,8508,22,159,13,10,3282,4,121,140601
2004,1016,42,1171,1390,969,37,339,386,153,218,797,291,480,2875,1388,31,54,20,18,770,390,1038,3,618,160,1397,115,1475,10,19,7,1,551,0,4,18233,1030,41,1552,997,174,10,905,292,99,632,178,286,142,584,787,71,18,0,4,423,311,1881,4,692,54,2324,127,1018,3,43,7,0,881,0,8,15578,512,0,74,1029,71,2,58,251,8,9,275,259,31,751,314,0,2,0,0,319,113,379,0,225,20,1708,82,396,0,6,0,0,126,0,6,7026,3817,61,883,704,1661,23,757,403,284,990,411,1435,2260,6690,2831,30,34,66,3,1811,261,2825,40,1861,134,1900,143,1566,6,20,5,1,601,0,50,34567,2310,0,11,13,131,15,164,850,16,264,3,57,133,804,862,0,0,0,1,170,38,41,0,1081,0,2682,110,64,3,18,0,0,130,0,30,10001,8388,4,1945,2679,741,17,3955,2026,252,82,588,1588,3222,3436,5646,2,5,0,0,1192,801,6781,1,1437,302,4950,405,6334,5,73,3,4,1254,1,2,58121,405,0,28,24,9,28,33,62,4,11,3,1170,168,23,309,0,0,5,4,22,32,79,1,3022,0,44,4,121,0,9,0,1,123,0,4,5748,1102,0,0,0,0,0,0,0,2,0,0,0,45,0,11,0,0,0,0,0,2,89,0,102,0,0,0,25,0,0,0,0,0,0,0,1378,18921,148,5700,8091,3763,132,6211,4276,823,2208,2490,5423,6483,15203,12169,134,113,91,30,5239,1955,13127,49,9332,670,15485,988,11047,27,188,22,7,3677,1,110,154333
2005,935,35,1238,1147,990,20,324,461,141,201,753,343,478,2921,1545,25,63,37,17,799,398,993,18,571,162,1217,133,1686,4,33,5,2,658,0,6,18359,995,39,1456,929,184,12,916,344,102,658,283,312,129,604,851,69,19,0,9,547,329,1549,2,783,43,2256,125,1039,1,45,9,2,1106,0,3,15750,443,0,99,1014,100,2,48,212,2,5,257,261,21,739,341,0,1,4,0,334,99,361,0,215,34,1564,63,446,0,3,0,1,114,0,4,6787,3595,67,899,451,1450,30,802,380,286,830,293,1585,2339,6426,3228,25,44,49,7,2238,308,2503,38,1764,161,1835,100,1572,11,31,5,1,762,0,60,34175,2508,0,19,13,132,8,104,597,29,371,36,71,175,792,919,0,0,4,0,184,43,28,0,665,1,2881,89,54,1,9,0,0,225,0,26,9984,8696,9,2206,1574,732,11,4090,2075,228,76,590,1883,3283,2989,6233,20,3,0,0,1671,729,5997,4,1650,439,4505,272,6936,5,75,5,3,1324,0,6,58319,681,0,25,28,6,38,59,85,4,3,13,1241,225,19,222,1,1,1,4,29,58,115,0,2777,0,31,2,74,0,9,0,1,151,0,5,5908,2657,0,0,0,0,0,0,0,0,0,2,0,108,0,8,0,0,0,0,1,0,109,0,30,0,0,0,1,0,0,0,0,1,0,0,2917,20819,150,6027,6019,3599,121,6343,4161,793,2144,2544,6057,6762,14529,13370,140,131,95,37,6249,1969,11657,62,8648,840,14875,786,11887,22,205,24,10,4351,0,127,155553
