,STATE/UT,principal component 1,principal component 2
0,Andhra Pradesh,2.8062421043748333,5.324062524316339
1,Arunachal Pradesh,0.10540262255619759,-1.5364147842612377
2,Assam,1.5517879719101415,-1.5794324712173708
3,Bihar,-0.8501050427229306,-0.07890693557317645
4,Chhattisgarh,0.9668775117163683,-1.2925632680004748
5,Goa,-1.5960712436256115,1.0383437408263367
6,Gujarat,-0.9048214292138378,0.2640507862087532
7,Haryana,1.5640256542012503,1.2724741941931568
8,Himachal Pradesh,-0.3268783429780057,-0.5566651419885966
9,Jammu & Kashmir,1.9606527107739833,0.22827437125506897
10,Jharkhand,-0.47303683134585217,-0.5381909637099778
11,Karnataka,-1.313827408964409,1.0533389835649891
12,Kerala,0.4119005391555222,0.5765010530582261
13,Madhya Pradesh,2.7634553512220186,-1.1315676731112125
14,Maharashtra,-0.18628873904092913,0.28410993029937087
15,Manipur,-1.565881720649509,-0.42085049503530997
16,Meghalaya,-1.4277830900080462,-0.8063078608130306
17,Mizoram,0.02137879244045751,-1.183330469532341
18,Nagaland,-2.3951488362362245,-0.006929552712502907
19,Odisha,0.633699231832213,-0.40444773871520967
20,Punjab,-1.0137516574484358,-0.1556377877607616
21,Rajasthan,0.8219785772855118,-0.04063755698872822
22,Sikkim,-0.2744861400806463,-1.358675271251797
23,Tamil Nadu,-1.1775173249164368,2.2029244403747814
24,Tripura,2.4154630440710516,-1.1962667565981586
25,Uttar Pradesh,-0.41907089785704515,0.8640553489291798
26,Uttarakhand,-0.5236372474467769,0.24311192858101413
27,West Bengal,-0.053322772877811404,-0.20566665097966
28,A&N Islands,-1.5905193572895264,-0.1415324956793603
29,Chandigarh,1.5167783406545172,-0.4270190061513107
30,D&N Haveli,-0.4607948218648102,-1.0481005417386065
31,Daman & Diu,-1.386810707401604,0.10635322177122637
32,Delhi UT,3.528272504783824,-0.7541265720817825
33,Lakshadweep,-2.808784543200714,0.27336741505673756
34,Puducherry,-0.31937680180872746,1.1323020554654253
