,STATE/UT,principal component 1,principal component 2
0,Andhra Pradesh,2.9971383698248073,4.8212928396634105
1,Arunachal Pradesh,0.2481744995080169,-1.31956901957041
2,Assam,1.4446468029933703,-1.410952775704082
3,Bihar,-0.6963457207362119,-0.35122349111736156
4,Chhattisgarh,0.6774850473060043,-1.1768165581322743
5,Goa,-2.2366145024229787,1.368011168736927
6,Gujarat,-0.7937972751783233,0.27247180544268856
7,Haryana,1.4520899800887486,0.7844013553103566
8,Himachal Pradesh,-0.503305150818718,-0.37970634685205035
9,Jammu & Kashmir,2.232761776880239,0.30073608179662825
10,Jharkhand,-0.43936786417606655,-0.7473084904616877
11,Karnataka,-1.4220787596909774,1.0875264413499566
12,Kerala,0.6821054879369246,0.6450326015486333
13,Madhya Pradesh,2.2437922099244165,-1.035481661002629
14,Maharashtra,-0.2613979435895075,0.45609781462366944
15,Manipur,-1.2697657955152912,-0.7208511646384776
16,Meghalaya,-1.157580515555934,-0.9784587282913569
17,Mizoram,0.057472493427877344,-2.632425509568142
18,Nagaland,-2.45799263055476,0.138031052214199
19,Odisha,0.710284856583807,-0.5820230668794317
20,Punjab,-0.9257171064897873,-0.16919157898006948
21,Rajasthan,0.9259923551484452,0.10620514496907145
22,Sikkim,-1.0436342211097804,-1.2375955900903581
23,Tamil Nadu,-1.7871843176203475,2.8377347071776153
24,Tripura,2.4275473919104797,-1.6044676152125381
25,Uttar Pradesh,-0.33420740063770416,0.6086998136353975
26,Uttarakhand,-0.08442828246759464,0.1559991284981433
27,West Bengal,-0.1351853507897887,-0.3468850594007028
28,A&N Islands,-0.8217197914880475,-0.06763292155843689
29,Chandigarh,1.663088308708102,0.335559729299123
30,D&N Haveli,0.29793581549113696,-0.9267312944096116
31,Daman & Diu,-2.011147678338057,-0.014455149081352313
32,Delhi UT,2.7440369586456366,-0.31513045340654344
33,Lakshadweep,-2.525362268013704,0.11693061732545401
34,Puducherry,0.10228022081556479,1.9821761727662424
