,STATE/UT,principal component 1,principal component 2
0,Andhra Pradesh,3.6683950615350858,3.6052477670849754
1,Arunachal Pradesh,-0.3240862313406928,-2.240632483377493
2,Assam,1.1705021453675641,-2.24068336247979
3,Bihar,-0.16750631106954092,0.33936601239475606
4,Chhattisgarh,0.44177251582603533,-1.6294928154335735
5,Goa,-0.9652521102806043,0.6604011603791204
6,Gujarat,-0.5967571744781649,0.39829217938444705
7,Haryana,2.5934244667916806,1.8175679841671457
8,Himachal Pradesh,-0.3845538308420834,-0.7339215237875661
9,Jammu & Kashmir,1.4357440162434096,-1.4362115171745133
10,Jharkhand,-0.3091490367515735,-0.27583120903858177
11,Karnataka,-1.1949741851986484,1.399581350606107
12,Kerala,0.3106608184642601,0.25968793378370336
13,Madhya Pradesh,2.4393515384104516,-1.4744980040775968
14,Maharashtra,-0.2903980627236545,0.47193760395209655
15,Manipur,-1.5180876433030348,-0.5772114720735894
16,Meghalaya,-1.6801952021137923,-0.42529445849241054
17,Mizoram,-1.3184288173097183,-0.6945980875802612
18,Nagaland,-2.3359727357798543,0.4765718026178059
19,Odisha,0.12407657834877996,-0.2194297688036259
20,Punjab,-0.8038022519833159,0.11954117235268956
21,Rajasthan,1.578242165497769,-0.2638133780183794
22,Sikkim,-1.4754960534156585,-0.31114450226593326
23,Tamil Nadu,-0.4338525489921609,2.9122016415843857
24,Tripura,1.256264098973787,-1.6176556177334438
25,Uttar Pradesh,0.11712415002761214,1.1001275523578147
26,Uttarakhand,0.29444083990151465,0.7232402771269049
27,West Bengal,-0.03375491394325968,0.09926537382751338
28,A&N Islands,-1.0631460952125966,-0.43154743851951405
29,Chandigarh,1.8639636898871677,0.2507895927899318
30,D&N Haveli,-0.596807972165672,-1.715163994183713
31,Daman & Diu,-2.05865148669333,0.8171942355999529
32,Delhi UT,2.6932625229368985,-1.4350199745093257
33,Lakshadweep,-2.401545643849206,0.8660800064087789
34,Puducherry,-0.034806300765453824,1.4050559611311813
