,STATE/UT,principal component 1,principal component 2
0,Andhra Pradesh,3.418749868476086,5.4588030654421456
1,Arunachal Pradesh,-0.24335604981723613,-1.0863998370748897
2,Assam,2.2393266651462023,-1.9775163950473889
3,Bihar,-0.4727029358887181,-0.755063712790151
4,Chhattisgarh,0.5857826655348579,-0.5723210295882222
5,Goa,-1.0939535211904987,2.389120687757044
6,Gujarat,-0.8750766400604865,-0.07178138717965536
7,Haryana,1.2613783151075462,0.2653354102750228
8,Himachal Pradesh,-0.0766618028139466,-0.14935333765512607
9,Jammu & Kashmir,2.3619238424561284,0.32001175917732866
10,Jharkhand,-0.6693635411722637,-0.7725168599977525
11,Karnataka,-0.7273525254592154,0.22853784116218573
12,Kerala,1.689402767938267,1.027318551862185
13,Madhya Pradesh,1.9582658662869132,-0.7205264097246663
14,Maharashtra,-0.42353651097283984,0.4473580681985134
15,Manipur,-0.9822442056667573,-0.7734661083846598
16,Meghalaya,-0.6440888324416937,-0.9209946216455012
17,Mizoram,0.2165153562176554,-0.7887855629456657
18,Nagaland,-2.110112949382789,-0.013268047002917793
19,Odisha,1.1464427051097401,-0.6106086810315017
20,Punjab,-0.9200017362069913,-0.3509560092060232
21,Rajasthan,1.649378245516165,0.5325153409472503
22,Sikkim,-0.9565388578041388,-0.4716866631159275
23,Tamil Nadu,-1.1203147003653375,0.5709174311593259
24,Tripura,2.6278814107636186,-1.299111271712995
25,Uttar Pradesh,-0.32714979700276464,-0.7559530789376682
26,Uttarakhand,-0.5076323681750885,-0.21648936230578664
27,West Bengal,1.212254248483574,-0.6223128850058263
28,A&N Islands,-0.9277400461623859,0.13088089605285655
29,Chandigarh,-0.46328219547710364,-0.12077990391883976
30,D&N Haveli,-1.7955783731556605,-0.12398706892587819
31,Daman & Diu,-3.3871500355930846,2.212779393202824
32,Delhi UT,2.0298552050137246,-1.2957592794718997
33,Lakshadweep,-2.3839056046120444,0.1447590448254296
34,Puducherry,-1.2894139326294294,0.7413000226068279
