,STATE/UT,principal component 1,principal component 2
0,Andhra Pradesh,2.8307451131030485,-3.3750024510216243
1,Arunachal Pradesh,0.3240582275852467,1.9216253364992963
2,Assam,1.0335740463535614,1.0185298941437222
3,Bihar,-0.6026676430914918,-0.4968203240060689
4,Chhattisgarh,0.9305576992639994,1.622656986519534
5,Goa,-1.885058011135501,-0.5767115827465539
6,Gujarat,-0.634048258202599,-0.4740957594341311
7,Haryana,2.7111696767426468,-2.651426340764877
8,Himachal Pradesh,0.02873532982392598,0.9247342798462747
9,Jammu & Kashmir,1.6578925644785505,0.6895314857926712
10,Jharkhand,-0.18740686910649482,0.21077632947073585
11,Karnataka,-1.1121619639782785,-1.1016506112273468
12,Kerala,0.457850734997143,0.11566419078058084
13,Madhya Pradesh,3.068615579372963,1.5105233118891224
14,Maharashtra,-0.2069130376178195,-0.2696281950536703
15,Manipur,-1.1816088140600391,0.47322179673377335
16,Meghalaya,-1.8488200243691124,0.561884872877662
17,Mizoram,1.0303834587437277,3.8369489496481766
18,Nagaland,-2.2475131274266804,0.1059438650226797
19,Odisha,0.11506063979839512,0.22109887516864338
20,Punjab,-0.25685266434857906,-0.5263428560693167
21,Rajasthan,1.671458980790714,-0.21550034591109676
22,Sikkim,-1.4510056301851881,0.6495734856793123
23,Tamil Nadu,-1.0619048949248204,-2.5172589103764804
24,Tripura,0.8270696656370354,0.5896640614008253
25,Uttar Pradesh,0.07087510147152903,-1.0119567422263345
26,Uttarakhand,-0.08216949759256002,-0.6247111882303222
27,West Bengal,-0.7962903158471255,-0.3410002491268007
28,A&N Islands,-0.9355080611485389,0.3909662274813555
29,Chandigarh,1.8291725487422423,-0.28043078049644893
30,D&N Haveli,-1.025563234990955,0.7690254359551977
31,Daman & Diu,-2.2118692113995544,-0.9964342887081905
32,Delhi UT,1.249919226740246,0.47316487885608854
33,Lakshadweep,-1.8361728225580396,0.5864995185563707
34,Puducherry,-0.273604511661597,-1.213063156922759
